episode,reward,autonomy,skill,difficulty,frustration,performance,help_dependency
0,281,0.7692307692307693,3,3,0,2,1
1,242,0.7272727272727273,3,3,1,2,0
2,204,0.7053571428571429,3,2,0,2,1
3,280,0.7346938775510204,3,3,0,2,0
4,306,0.7393617021276596,3,3,0,2,0
5,204,0.7168141592920354,3,3,0,2,0
6,271,0.7262357414448669,3,2,2,2,0
7,274,0.7284768211920529,3,2,1,2,0
8,291,0.7411764705882353,3,3,0,2,0
9,315,0.7486772486772487,3,3,0,2,1
10,226,0.7421686746987952,3,3,0,2,1
11,341,0.7412280701754386,3,3,0,2,0
12,353,0.7515151515151515,3,3,0,2,0
13,350,0.758364312267658,3,3,0,2,0
14,316,0.7638888888888888,3,3,0,2,0
15,377,0.7646103896103896,3,3,0,2,0
16,284,0.7687595712098009,3,3,0,2,0
17,178,0.7664233576642335,3,3,0,2,0
18,303,0.7690179806362379,3,3,0,2,0
19,225,0.7691292875989446,3,3,1,2,1
20,394,0.7752808988764045,3,2,1,2,0
21,382,0.7826603325415677,3,3,0,2,0
22,238,0.7815699658703071,3,3,0,2,0
23,308,0.787350054525627,3,3,0,2,0
24,327,0.7876569037656904,3,3,2,2,1
25,331,0.7915407854984894,3,2,1,2,1
26,239,0.7970731707317074,3,3,0,0,0
27,322,0.7968015051740357,3,3,0,2,0
28,182,0.7959743824336688,3,2,0,2,0
29,350,0.7966549295774648,3,3,2,2,1
30,337,0.7993197278911565,3,2,1,2,0
31,-25,0.7946577629382304,3,3,2,0,1
32,203,0.7951219512195122,3,3,0,2,0
33,241,0.7952569169960474,3,3,0,2,0
34,249,0.7958397534668721,3,2,2,0,2
35,278,0.7986476333583772,3,3,0,2,0
36,44,0.7961595273264401,3,1,0,0,2
37,301,0.7998560115190785,3,3,1,2,0
38,434,0.8037841625788367,3,2,0,2,0
39,335,0.8057455540355677,3,2,0,2,0
40,286,0.8065376917945297,3,3,0,2,1
41,281,0.8084690553745928,3,1,1,2,0
42,306,0.8110687022900763,3,3,0,2,0
43,181,0.809850374064838,3,3,0,2,0
44,402,0.8142076502732241,3,3,1,2,0
45,163,0.810232004759072,3,3,0,2,0
46,243,0.8081395348837209,3,3,0,2,0
47,288,0.8115034168564921,3,2,0,2,0
48,302,0.8125,3,2,1,2,0
49,363,0.8147540983606557,3,2,1,2,0
50,460,0.8175026680896478,3,3,0,2,0
51,420,0.8197492163009404,3,3,0,2,0
52,393,0.8230179028132992,3,3,1,2,1
53,497,0.8261523046092184,3,3,0,2,0
54,341,0.828416912487709,3,3,0,2,0
55,345,0.8306801736613604,3,3,0,2,0
56,275,0.8315939278937381,3,3,0,1,0
57,399,0.8327899394503959,3,3,0,2,0
58,385,0.8329519450800915,3,3,0,2,0
59,365,0.8343834383438344,3,3,0,2,0
60,215,0.8352575488454707,3,1,0,2,0
61,409,0.8379084967320262,3,3,0,2,0
62,360,0.8398286937901499,3,3,0,2,0
63,345,0.8413299663299664,3,3,0,2,0
64,330,0.8439569536423841,3,2,2,2,0
65,344,0.8449328449328449,3,3,0,2,0
66,307,0.8454144973968762,3,3,0,2,0
67,345,0.847457627118644,3,3,0,2,0
68,305,0.8487558320373251,3,2,1,2,0
69,274,0.8495778971603991,3,2,0,0,0
70,383,0.8506051437216339,3,3,0,2,0
71,299,0.851063829787234,3,2,0,2,1
72,377,0.8529411764705882,3,3,0,2,0
73,209,0.8532509989102797,3,2,2,0,0
74,322,0.8538681948424068,3,3,0,2,0
75,263,0.8547189819724285,3,3,2,2,0
76,221,0.853607528755664,3,3,0,2,1
77,402,0.8535579236851152,3,3,0,2,0
78,501,0.8549152542372881,3,2,0,2,0
79,572,0.8567134268537074,3,3,0,2,0
80,176,0.8553937789543349,3,3,0,2,0
81,294,0.854153041203401,3,3,0,2,1
82,350,0.8536821705426356,3,3,2,2,1
83,288,0.8547717842323651,3,3,0,2,0
84,417,0.8564231738035264,3,3,0,2,0
85,251,0.8570538772967923,3,3,0,2,0
86,342,0.8579790511398645,3,2,0,2,0
87,504,0.8597931873479319,3,3,0,2,0
88,375,0.8607937462417318,3,2,0,2,0
89,464,0.8612596553773024,3,3,0,2,1
90,329,0.8623934137018524,3,3,2,2,0
91,104,0.8616058394160584,3,3,0,2,0
92,460,0.8631123919308358,3,3,0,2,0
93,318,0.8641025641025641,3,3,0,2,0
94,295,0.8646743727093318,3,2,0,2,0
95,440,0.8658298465829847,3,3,0,2,0
96,359,0.8665745856353592,3,3,0,2,0
97,364,0.8676148796498906,3,3,0,2,0
98,304,0.8677865077214847,3,2,0,2,0
99,431,0.8691113490364025,3,3,0,2,0
100,277,0.86983032873807,3,3,0,2,0
101,378,0.871196222455404,3,2,0,2,0
102,417,0.872240976369774,3,3,0,2,0
103,199,0.8720990201134605,3,3,0,2,0
104,511,0.8729267670324062,3,3,1,2,0
105,450,0.8739262253663467,3,3,1,2,0
106,407,0.8739054290718039,3,3,0,2,1
107,133,0.8741606565530963,3,2,0,0,0
108,304,0.8744140143103873,3,3,1,1,0
109,378,0.8753361036421413,3,2,0,2,0
110,456,0.8759990312424316,3,3,2,2,1
111,426,0.877129829613631,3,3,0,2,0
112,465,0.8782401902497028,3,3,0,2,0
113,427,0.8793022159358793,3,3,0,2,0
114,216,0.8796252927400469,3,3,0,2,0
115,453,0.8796102992345164,3,2,0,2,0
116,468,0.8806622212002759,3,3,2,2,0
117,348,0.8804100227790432,3,2,0,2,0
118,478,0.8812641083521444,3,3,0,2,0
119,350,0.8817998656816656,3,3,0,2,0
120,353,0.8821309655937847,3,3,1,2,0
121,251,0.8824955908289241,3,3,0,2,0
122,235,0.8821467688937569,3,2,0,2,0
123,400,0.8818162068216381,3,3,0,2,0
124,336,0.8810344827586207,3,3,0,2,0
125,283,0.8805555555555555,3,3,0,2,0
126,392,0.8804578211106401,3,2,0,2,0
127,427,0.880411937788987,3,3,0,2,0
128,248,0.8799331802046356,3,3,1,2,1
129,297,0.8796104434314131,3,1,2,2,0
130,358,0.8798848210612916,3,0,0,2,0
131,372,0.8795918367346939,3,3,0,2,1
132,299,0.8784687056917156,3,3,0,2,1
133,363,0.8782399035563593,3,3,0,2,0
134,470,0.8791866028708134,3,2,0,2,0
135,216,0.8791361204676045,3,3,0,0,0
136,353,0.87944936086529,3,2,0,2,0
137,336,0.8792901716068643,3,3,0,2,0
138,220,0.8774680603948897,3,3,0,2,0
139,268,0.8769940418989045,3,2,0,2,0
140,367,0.8777692895339955,3,1,2,1,0
141,125,0.8779003423354887,3,3,1,0,0
142,234,0.8780026480045394,3,3,1,2,0
143,462,0.8780258960405329,3,3,0,2,0
144,480,0.878748370273794,3,3,1,2,0
145,249,0.8788440163023342,3,3,0,2,0
146,260,0.8784754188915486,3,3,0,2,1
147,288,0.8790927382476679,3,3,2,0,1
148,212,0.879206840094597,3,3,0,2,0
149,355,0.8797399783315276,3,3,0,2,0
150,333,0.8793906810035842,3,3,0,2,0
151,328,0.8790250845045365,3,3,0,2,0
152,471,0.8791946308724832,3,3,1,2,0
153,351,0.8789261273907704,3,1,0,2,0
154,400,0.8787033809689787,3,3,0,2,0
155,387,0.8788508134302527,3,3,1,2,0
156,441,0.8785014607320846,3,3,0,2,1
157,354,0.8786275179242062,3,3,0,2,0
158,425,0.8784333672431333,3,3,1,2,0
159,325,0.8775269541778976,3,3,0,2,0
160,457,0.8777387522997157,3,2,0,2,0
161,493,0.8781135835270674,3,3,0,2,0
162,395,0.8780729252598581,3,3,0,2,0
163,331,0.8773971480085232,3,3,0,2,1
164,323,0.877564311299251,3,2,1,2,0
165,295,0.8773661219867336,3,3,0,2,0
166,262,0.8762455801992929,3,3,0,2,0
167,242,0.8749600766528266,3,3,0,2,0
168,371,0.8735923869944489,3,2,1,2,0
169,375,0.8734237074401009,3,3,0,2,0
170,439,0.8737864077669902,3,3,1,2,0
171,225,0.8727414330218068,3,3,1,2,1
172,412,0.8728905403313206,3,2,0,2,0
173,454,0.8735190029235267,3,3,0,2,0
174,189,0.8734293594851363,3,3,0,2,0
175,476,0.8741620962827544,3,2,2,2,0
176,432,0.8744319903059679,3,3,0,2,0
177,278,0.8745476477683957,3,3,1,2,0
178,318,0.8750187546886722,3,3,1,2,0
179,325,0.8756901954932099,3,3,0,2,0
180,224,0.8758538758538759,3,3,1,2,0
181,269,0.8762551683402244,3,2,1,2,0
182,304,0.876430877604931,3,3,1,2,1
183,144,0.875,3,3,0,2,1
184,300,0.8753269398430689,3,3,1,2,0
185,321,0.8748554913294798,3,3,0,2,0
186,368,0.8749460974557999,3,3,0,2,0
187,307,0.8747318747318747,3,2,1,2,1
188,508,0.875355315520182,3,3,0,2,0
189,481,0.8760424028268551,3,3,0,2,0
190,334,0.8766352510901674,3,2,0,2,0
191,373,0.8768197088465846,3,2,2,2,0
192,293,0.8769509476031215,3,2,1,0,0
193,416,0.8772002772002772,3,2,0,2,0
194,321,0.8774300289535365,3,3,0,2,0
195,262,0.8774529984904624,3,3,0,2,0
196,244,0.8774590163934426,3,3,0,2,0
197,315,0.877445652173913,3,3,2,2,1
198,325,0.8773138765031753,3,2,0,2,0
199,288,0.8769995967199893,3,3,0,2,1
200,386,0.8770710849812934,3,3,0,2,0
201,260,0.876945589996009,3,2,0,2,0
202,301,0.8767703507610853,3,3,0,2,0
203,355,0.8771560236998025,3,3,0,2,0
204,361,0.8773745578409538,3,3,0,2,0
205,425,0.8775909268674228,3,3,0,2,0
206,368,0.8777893098079917,3,3,0,2,0
207,552,0.8783382789317508,3,3,0,2,0
208,227,0.8786476410849724,3,2,1,0,0
209,316,0.8787451984635083,3,3,0,2,0
210,402,0.8790466479734896,3,3,1,2,1
211,366,0.8793606494989217,3,3,0,2,0
212,343,0.8795150290477394,3,3,0,2,0
213,353,0.8796680497925311,3,2,0,2,0
214,108,0.8796238244514106,3,2,1,2,0
215,422,0.8799450892300013,3,0,0,2,0
216,373,0.880248447204969,3,3,0,2,0
217,448,0.8806874381800198,3,2,1,2,0
218,431,0.8809846153846154,3,3,0,2,0
219,408,0.8813870849160642,3,2,1,1,0
220,381,0.8816640234232036,3,3,0,2,0
221,503,0.8819031435853866,3,3,0,2,0
222,223,0.8819402443449861,3,3,1,2,1
223,218,0.8818850186814511,3,3,1,2,1
224,272,0.8820211233797408,3,3,0,2,0
225,233,0.882233381157341,3,3,2,2,0
226,311,0.8823809523809524,3,3,2,2,1
227,320,0.8824994071614892,3,3,0,2,0
228,221,0.8822348216394992,3,2,0,2,0
229,233,0.881439661256175,3,3,1,2,1
230,372,0.8817883895131086,3,2,0,2,0
231,352,0.8817980668452312,3,3,0,2,0
232,317,0.8820732838589982,3,3,0,2,0
233,442,0.8822714681440443,3,2,0,2,0
234,376,0.8823259020914732,3,2,0,2,0
235,393,0.882824121753061,3,2,0,2,0
236,236,0.8829095884163721,3,2,0,2,0
237,264,0.8830608537693007,3,3,0,2,1
238,442,0.8827516096238563,3,0,0,2,0
239,285,0.8828889638879514,3,3,1,2,0
240,236,0.8827879874495742,3,3,1,2,1
241,388,0.8832849810310198,3,3,0,2,0
242,369,0.8837519448766392,3,3,0,2,0
243,336,0.8841767246152142,3,3,0,2,0
244,18,0.8838802342282621,3,1,0,0,0
245,457,0.8842811571884281,3,2,2,2,0
246,390,0.8846533026618468,3,2,1,2,0
247,464,0.8850474424691896,3,2,0,2,0
248,296,0.8851211824801652,3,3,0,2,0
249,191,0.8853861986783663,3,2,2,0,1
250,252,0.885063673645586,3,3,0,2,0
251,305,0.8852811525642404,3,3,1,2,1
252,322,0.8850808610902859,3,2,0,2,0
253,284,0.8844676765521655,3,3,0,2,1
254,549,0.8849012529199405,3,2,0,2,0
255,378,0.8850100497196657,3,2,2,0,1
256,376,0.884943630808134,3,2,0,2,0
257,392,0.8851805205709488,3,2,0,2,0
258,388,0.8849289297658863,3,3,0,2,1
259,197,0.8845953546505573,3,3,0,2,0
260,347,0.8845914558274575,3,3,0,2,0
261,380,0.8843572534847702,3,3,1,2,0
262,70,0.8843102915421861,3,3,0,2,0
263,453,0.8847179487179487,3,3,1,2,0
264,306,0.8846546791990192,3,3,0,2,0
265,218,0.884736788514408,3,3,0,0,0
266,402,0.8849467815509376,3,3,0,2,0
267,297,0.8849959612277868,3,3,0,2,0
268,460,0.8854931135015582,3,3,0,2,0
269,345,0.8857400360504707,3,3,1,2,0
270,302,0.8860393174333899,3,3,2,2,1
271,295,0.886126305320736,3,3,0,2,0
272,287,0.8863996827914353,3,2,1,2,0
273,339,0.8868259924945684,3,3,0,2,0
274,290,0.8869428318409919,3,3,0,2,0
275,281,0.8867313915857605,3,3,0,2,0
276,309,0.8866744822196171,3,3,1,2,0
277,58,0.8863326184441411,3,3,1,2,0
278,294,0.8861914934938823,3,3,0,2,1
279,260,0.8861151427189163,3,1,0,2,0
280,455,0.8857418111753372,3,2,0,2,0
281,365,0.8855826454213861,3,3,0,2,2
282,356,0.8859246509848919,3,3,0,2,0
283,303,0.8860626845765457,3,3,0,2,1
284,423,0.8861263996963371,3,1,0,2,0
285,542,0.8863163863163863,3,3,0,2,0
286,368,0.8860747575557857,3,3,0,2,0
287,322,0.8859072996809908,3,3,1,2,0
288,328,0.8857516828721017,3,3,0,2,0
289,249,0.8854506477770528,3,3,0,2,0
290,428,0.8854118302535054,3,3,0,2,0
291,131,0.8852140077821011,3,3,1,0,1
292,343,0.8851338873499538,3,3,1,2,1
293,364,0.8852594773647405,3,3,0,2,0
294,237,0.8847812127327768,3,3,0,2,0
